NameEn,NameRu,NameUz
Tractor trailer 2PTS-4.5,"Тракторный прицеп 2ПТС-4,5","Traktor tirkamasi  2ПТС-4,5"
"Tractor trailer 2PTS-4,5 JAXON","Тракторный прицеп 2PTS-4,5 JAXON","Traktor tirkamasi  2ПТС-4,5 JAXON"
Tractor trailer UAT-2TTT-44402.01,Прицеп трактора UAT-2TTT-44402.01,Traktor tirkamasi UAT-2TTT-44402.01
Tractor trailer TDTP 6000,Тракторный прицеп TDTP 6000,Traktor tirkamasi  TDTP 6000
PUMA 155 wheeled tractor,Колёсный трактор PUMA 155,Traktor tirkamasi PUMA 155
PUMA 210 wheeled tractor,Колёсный трактор PUMA 210,Traktor tirkamasi  PUMA 210
ZOOMLION 1104 RH wheeled tractor,Колесный трактор ZOOMLION 1104 RH,G‘ildirakli traktor ZOOMLION 1104 RH
Suspended rotary plough of UNIA IBIS XXL 4+1 and UNIA IBIS XXL 4+1,Подвесной вращающийся плуг UNIA IBIS XXL 4+1 и UNIA IBIS XXL 4+1,UNIA IBIS XXL 4+1 va UNIA IBIS XXL 4+1 osma aylanuvchi plug
6-row cotton harvester 4MZ-6,6-рядная хлопкоуборочная машина 4МЗ-6,6 qatorli 4MZ-6 paxta terish mashinasi
"Cultivator ""Theme""","Культиватор ""Тема""","""Tema"" kultivatori"
Combine harvester New Holland TC5.30,Зерноуборочный комбайн New Holland TC5.30,New Holland TC5.30 g‘alla o‘rish kombayni
Attachment cultivator-feeder KHM-4BZN,Насадочный культиватор-питатель КХМ-4БЗН,KXM-4BZN nasadkali kultivator-oziqlantirgichi
Suspended cultivator feeder KHM-4,Подвесной культиватор-питатель КХМ-4,KXM-4 osma kultivator-oziqlantirgichi
Seeder for small-seeded vegetables CC-2.8,"Сеялка для мелкосемянных овощей СС-2,8","SS-2,8 mayda urug‘li sabzavot  ekkichi"
Combine harvester TS5.90,Зерноуборочный комбайн TS5.90,TS5.90 g‘alla o‘rish kombayni
UNIKOM trailer,"Прицеп ""UNIKOM""",UNIKOM tirkamasi
Suspended rotating plough Standard 7 plus 3/1,Подвесной вращающийся плуг Стандарт 7 плюс 3/1,Osma aylanuvchi plug Standart 7 plyus 3/1
ODK Corriola Sprayer,Опрыскиватель ODK Corriola,ODK Corriola purkagichi
Potato digger KN-2,Картофелекопатель КН-2,KN-2 kartoshka kovlagich
3-body mounted plough PLN-3-35,3-х корпусная навесная плуга ПЛН-3-35,PLN-3-35 3 korpusli osma plug
Potato planter OPD-2,Картофелесажалка ОПД-2,OPD-2 kartoshka ekkich
Cultivator KHU-4B,Культиватор КХУ-4В,KXU-4V kultivatori
Universal Spray FANVP-1 IIB,Универсальный вентилятор-распылительVP-1 IIB,Universal ventilyator-purkagichVP-1 IIB
Pneumatic planter PLANTER D4,Пневматическая сеялка PLANTER D4,PLANTER D4 pnevmatik ekkichi
Gardening mounted sprayer VP-1 MV,Садоводческий навесной опрыскиватель ВП-1 МВ,VP-1 MV bog‘dorchilik osma purkagichi
Gardening semi-trailer sprayer VP-1 MVR,Опрыскиватель садоводческий полуприцепный ВП-1 МВР,Yarim tirkamali bog‘dorchilik purkagichi VP-1 MVR
SIGMA 5 Pneumatic Seed Drill,Пневматическая сеялка SIGMA 5,SIGMA 5 pnevmatik seyalkasi
Suspended Rotary plough Yuvel 7M3+1,Подвесной вращающийся плуг Yuvel 7M3+1,Yuvel 7M3+1 osma aylanuvchi plug
Tractor LOVOL RH1104,Трактор LOVOL RH1104,LOVOL RH1104 traktori
Laser planner DOZER-450,Лазерный планировщик ДОЗЕР-450,DOZER-450 lazerli tekislagich
Suspended Rotating LUBRICATIONMD3+1,Подвесная вращающаяся смазкаMD3+1,Osma aylanuvchi moyMD3+1
Laser planner DOZER-450,Лазерный планировщик ДОЗЕР-450,DOZER-450 lazerli tekislagich
Suspended Rotary plough Yuvel 7M3+1,Подвесной вращающийся плуг Yuvel 7M3+1,Yuvel 7M3+1 osma aylanuvchi plug
Tractor LOVOL RH1104,Трактор LOVOL RH1104,LOVOL RH1104 traktori
SIGMA 5 Pneumatic Seed Drill,Пневматическая сеялка SIGMA 5,SIGMA 5 pnevmatik ekkichi
Tractor TT4.80,Трактор TT4.80,TT4.80 traktori
Rotary mower shredder KIR-1.5,"Роторная косилка-измельчитель КИР-1,5","Rotorli KIR-1,5 o‘roq-maydalagich"
Three-wheeled tractor TTZ-811,Трёхколёсный трактор ТТЗ-811,TTZ-811 uch g‘ildirakli traktor
Sphir 7/300DS Mechanical Seeder,Механическая сеялка Sphir 7/300DS,Sphir 7/300DS mexanik ekkichi
Suspended plow PN-3-30,Подвесной плуг ПН-3-30,PN-3-30 osma plug
T7060 Wheeled Tractor,Колесный трактор T7060,T7060 g‘ildirakli traktor
Universal sulfur pollinator OSH-U-200,Универсальный сероопылитель ОШ-У-200,OSH-U-200 universal oltingugurt changitgichi
Sprayer with universal fan VP-1,Опрыскиватель с универсальным вентилятором ВП-1,VP-1 universal ventilyatorli purkagich
Universal chisel cultivator CHKU-4A,Универсальный чизельный культиватор ЧКУ-4А,ChKU-4A universal chizel kultivatori
Cotton carding device PCHM-4B,Устройство для чесания хлопка PCHM-4B,PCHM-4B paxta titish qurilmasi
Trailer 2PTS-4-793A,Прицеп 2PTS-4-793A,Tirkama 2PTS-4-793A
Mechanical seeder ShKh-4B,Механическая сеялка СЧХ-4Б,SCHX-4B mexanik ekkichi
The PL-4 leveler,Выравниватель PL-4,PL-4 tekislagich
KD-3 Disc drum,Дисковый барабан KD-3,KD-3 diskli baraban
Drummer GMD-280,Ударник GMD-280,GMD-280 zarba beruvchi
Grain harvester Dominator-130,Зерноуборочный комбайн Dominator-130,Dominator-130 g‘alla o‘rish kombayni
MARKANT-650 presser,Прессовщик MARKANT-650,MARKANT-650 presslagichi
6-row seed drill PS-5.4 LEK,6-рядная сеялка PS-5.4 LEK,6 qatorli PS-5.4 LEK ekkichi
Grain harvester Dominator-370,Зерноуборочный комбайн Dominator-370,Dominator-370 g‘alla o‘rish kombayni
Grain harvester Dominator-260,Зерноуборочный комбайн Dominator-260,Dominator-260 g‘alla o‘rish kombayni
Combine harvester CASE IH AF4088,Зерноуборочный комбайн CASE IH AF4088,CASE IH AF4088 g‘alla o‘rish kombayni
Tractor TTZ-LS100HC,Трактор TTZ-LS100HC,TTZ-LS100HC traktori
Tractor TTZ LS I38,Трактор TTZ LS I38,TTZ LS I38 traktori
Tractor TTZ-LS U62,Трактор TTZ-LS U62,TTZ-LS U62 traktori
NKYA-100 Deep digger,Глубококопатель НКЯ-100,NKYA-100 chuqur kovlagichi
Deep filler GR-270,Глубокорыхлитель ГР-270,GR-270 chuquryumshatgichi
Tractor T7060,Трактор T7060,T7060 traktori
ZUBR JR-Q7813 Tillerblock,Мотоблок ZUBR JR-Q7813,ZUBR JR-Q7813 motobloki
Combine harvester VECTOR-410,Зерноуборочный комбайн ВЕКТОР-410,VEKTOR-410 g‘alla o‘rish kombayni
Wide-range chisel cultivator,Широкозахватный чизельный культиватор,Keng qamrovli chizel-kultivator
Trailer 2PTS-4/6/8,Прицеп 2PTS-4/6/8,Tirkama 2PTS-4/6/8
MX-1.8GB Cotton Harvesting Machine,"Хлопкоуборочная машина MX-1,8GB","BMX-1,8GB paxta terish mashinasi"
Wheeled tractor TD5.110,Колесный трактор TD5.110,TD5.110 g‘ildirakli traktor
Wheeled tractor T6070,Колесный трактор Т6070,T6070 g‘ildirakli traktor
Box cleaning machine SKO-3.6,Машина для уборки коробочек СКО-3.6,SKO-3.6 ko‘sak yig‘ishtirish mashinasi
mineral fertilizer spreader GS2-600,разбрасыватель минеральных удобрений ГС2-600,GS2-600 mineral o‘g‘it sepish mashinasi
Suspended rotating plough Standard 7 plus 4/1,Подвесной вращающийся плуг Стандарт 7 плюс 4/1,Osma aylanma omoch Standart 7 plus 4/1
