name_en,name_uz,name_la,name_ru
Early blight of solanaceous crops  ,Sabzavotlar alternariozi  ,Aliternaria Solani (macrosporium) Sor.,Альтернариоз паслёновых  
Alternariosis  ,Alternarioz  ,"Alternaria alternate, Alternaria arborescens, Alternaria tenuissima",Альтернариоз  
Alternaria species  ,Alternariya zamburug‘lari  ,Alternaria sp,Альтернарии  
Ascochyta blight of chickpea  ,Nohut askochitozi  ,Ascochyta rabiei (Pass.) Labr.,Аскохитоз нута  
Ascochyta blight of soybean  ,Soya askochitozi  ,Ascochyta sojaecola Abramov (= A. phaseolorum Sacc.),Аскохитоз сои  
Bean anthracnose  ,Loviya antraknozi  ,Colletotrichum Lindemuthianum,Антракноз фасоли  
Cucumber anthracnose  ,Bodring antraknozi  ,Colletotrichum orbiculare,Антракноз огурца  
Anthracnose (various species)  ,Antraknoz (turli turlari)  ,"Colletotrichum spp., Glomerella cingulata",Антракноз (разные виды)  
Pepper anthracnose  ,Qalampir antraknozi  ,Colletotrichum truncatum,Антракноз перца  
Fire blight of fruit trees  ,Mevali daraxtlar bakterial kuyishi  ,Erwinia amylovora Winsl. Et al.,Огненный бактериальный ожог плодовых  
Powdery mildew of carrot  ,Sabzi un shudringi  ,Erysiphe umbelliferarum f. dauci Leveillula umbelliferarum f.dauci,Мучнистая роса моркови  
Powdery mildew of grapevine  ,Uzum un shudringi  ,Erysiphе necator Oidium tuckeri Berk.,Мучнистая роса винограда  
Leaf mold of tomato  ,Pomidor bargida dog‘ kasalligi  ,Fulvia fulva,Бурая пятнистость томата  
Fusarium wilt of chickpea  ,Nohut fuzarioz qurishi  ,Fusarium oxysporum f.sp.ciceris,Фузариозное увядание нута  
Fusarium wilt of watermelon  ,Tarvuz fuzarioz qurishi  ,Fusarium oxysporum f.sp. Niveum,Фузариозное увядание арбуза  
Fusarium root rot of pepper  ,Qalampir ildiz chirishi  ,Fusarium oxysporum f. sp. radicis-capsici.,Фузариоз корней перца  
Fusarium wilt  ,Fuzarioz  ,Fusarium oxysporum Sehleht.,Фузариоз  
Fusarium wilt of cotton  ,Paxta fuzariozi  ,Fusarium sp.,Фузариозное увядание хлопчатника  
Grapevine anthracnose  ,Uzum g‘uncha chirishi (gleosporioz)  ,"Fusarium охуsporum Schl., f. vasinfectum Bilai",Глеоспориоз винограда  
Walnut brown spot  ,Yong‘oq bargida jigarrang dog‘  ,Gloeosporium ampelophagnum Sacc.,Бурая пятнистость ореха  
Rice brown spot  ,Guruch bargida dog‘ (gelmintosporioz)  ,Gnomonia leptostyla,Гельминтоспориоз риса  
Powdery mildew of chickpea  ,Nohut un shudringi  ,Helminthosporium oryzae,Мучнистая роса нута  
Powdery mildew of chicory  ,Cikoriy un shudringi  ,Leveillula taurica Arn. f. ciceris Jacz..,Мучнистая роса цикория  
