NameEn,NameRu,NameUz
Free (not in use),Свободно (не используется),Bo‘sh (foydalanilmaydi)
In circulation (being processed),В обороте (обрабатывается),Aylanmada (ishlov berilmoqda)
Under steam,Под паром,Shudgor qilingan
Under crop rotation,Под севооборотом,Almashlab ekish ostida
Occupied by winter crops,Занято озимой культурой,Kuzgi ekin ekilgan
Occupied by spring crops,Занято яровой культурой,Bahorgi ekin ekilgan
Under perennial plantings,Под многолетними насаждениями,Ko‘p yillik ekinzorlar ostida
Under greenhouse/covered ground,Под теплицей / закрытым грунтом,Issiqxona / yopiq yer ostida
Occupied by fodder crops,Занято кормовой культурой,Ozuqa ekini ekilgan
Occupied by industrial crops,Занято технической культурой,Texnik ekin ekilgan
Occupied by vegetable crops,Занято овощной культурой,Sabzavot ekilgan
Problematic/unsuitable for use,Проблемное / не подлежит использованию,Muammoli / foydalanishga yaroqsiz
In the process of conservation,В процессе консервации,Konservatsiya jarayonida
Occupied by second crop,Занято вторым урожаем,Takroriy hosil ekilgan
Under irrigation/sprinkler irrigation,На орошении / под дождеванием,Sug‘orilmoqda / yomg‘irlatib sug‘orilmoqda
Under haymaking/pasture,Под сенокосом / пастбищем,O‘t o‘rish / yaylov ostida
