NameEn,NameRu,NameUz
Rivers,Реки,Daryolar
Canals and irrigation networks,Каналы и ирригационные сети,Kanallar va sug‘orish tarmoqlari
Reservoirs,Водохранилища,Suv omborlari
Groundwater,Подземные воды,Yer osti suvlari
Atmospheric precipitation,Атмосферные осадки,Atmosfera yog‘inlari
Drainage and discharge water,Дренажные и сбросные воды,Zovur va oqova suvlar
Wastewater,Сточные воды,Chiqindi suvlar
Reused water,Повторно используемые воды,Qayta foydalaniladigan suvlar
Glaciers,Ледники,Muzliklar
Water in the soil profile,Вода в почвенном профиле,Tuproq qatlamidagi suv
