FullNameEn,FullNameRu,FullNameUz,NameEn,NameRu,NameUz
Kilogram,Килограмм,Kilogramm,kg,кг,kg
Gram,Грамм,Gramm,g,г,g
Ton,Тонна,tonna,t,т,t
Liter,Литр,litr,L,л,L
Milliliter,Миллилитр,Millilitr,ml,мл,ml
Cubic meter,Кубический метр,Kub metr,m³,м³,m³
Hectare,Гектар,Gektar,ha,га,ga
Square meter,Квадратный метр,Kvadrat metr,m²,м²,m²
Meter,Метр,metr,m,м,m
Centimeter,Сантиметр,Santimetr,cm,см,sm
Millimeter,Миллиметр,Millimetr,mm,мм,mm
Percent,Процент,Foiz,%,%,%
Hour,Час,Soat,h,ч,soat
Minute,Минута,daqiqa,min,мин,daq
Piece,Штука,Buyum,pcs,шт.,dona
Meter per second,Метр в секунду,Sekundiga metr,m/s,м/с,m/s
Degree Celsius,Градус Цельсия,Selsiy darajasi,°C,°C,°C
Millimeters per hour,Миллиметров в час,Soatiga millimetr,mm/h,мм/ч,mm/soat
Kilogram per hectare,Килограмм на гектар,Gektariga kilogramm,kg/ha,кг/га,kg/ga
Centner,центнер,sentner,q,ц,s
Second,секунда,soniya,s,с,bilan
Running meter,погонный метр,pogon metr,,пог.м,pog.m
Centner per hectare,центнер на гектар,gektariga sentner,,ц/га,s/ga
Water consumption in cubic meters,расход воды в кубометрах,kubometr hisobidagi suv sarfi,m³/ha,м³/га,m³/ga
