NameEn,NameRu,NameUz
Avicides,Авициды,Avitsidlar
Bactericides,Бактерициды,Bakteritsidlar
Virocides,Вироциды,Virotsidlar
Herbicides,Гербициды,Gerbisidlar
Desiccants,Десиканты,Desikantlar
Defoliants,Дефлоранты,Deflorantlar
Defoliants and desiccants,Дефолианты и десиканты,Defoliant va desikantlar
Retardants,Ретарданты,Retardantlar
Zoocides,Зооциды,Zootsidlar
Insecticides and acaricides,Инсектициды и акарициды,Insektisidlar va akarisidlar
Ichthyocides,Ихтиоциды,Ixtiotsidlar
Larvicides,Ларвициды,Larvitsidlar
Limacides,Лимациды,Limatsidlar
Nematocides,Нематоциды,Nematotsidlar
Ovicides,Овициды,Ovitsidlar
Fungicides,Фунгициды,Fungisidlar
"Plant growth regulators, growth substances, phytohormones","Регуляторы роста растений, ростовые вещества, фитогормоны",O‘simliklarning o‘sishini boshqaruvchi preparatlar
Attractants,Аттрактанты,Attraktantlar
Repellents,Репелленты,Repellentlar
Biological products,Биопрепараты,Biopreparatlar
Pheromones,Феромоны,Feromonlar
Against storage pests,Против амбарных вредителей,Ombor zarakunandalariga qarshi
Products used for pre-sowing seed treatment,"Препараты, применяемые при предпосевной обработке семян",Urug‘larni ekishdan oldin dorilashda qo‘llaniladigan preparatlar
Surfactant,Поверхностно-активное вещество,Sirt faol moddasi
Growth stimulants,Стимуляторы роста,o'sish stimulyatorlari
Soil pH regulator,регулятор pH почвы,tuproq pH regulyatori
