NameEn,NameRu,NameUz
Data from satellites remotely sensing the Earth's surface,Данные спутников дистанционного зондирования поверхности Земли,Yer yuzasini masofadan zondlash sun’iy yo‘ldoshlari ma’lumotlari
UAV data;,Данные БПЛА;,Uchuvchisiz uchish apparatlari ma’lumotlari;
Meteorological data,Метеорологические данные,Ob-havo ma’lumotlari
Soil data;, Данные о почвах; ,Tuproq haqidagi ma’lumotlar;
Crop data,Данные о сельскохозяйственных культурах,Qishloq xo‘jaligi ekinlari to‘g‘risidagi ma’lumotlar
Water resource data, Данные о водных ресурсах ,Suv resurslari haqidagi ma’lumotlar
Crop condition data,Данные о состоянии посевов,Ekinlarning holati haqidagi ma’lumotlar
Cadastral data,Кадастровые данные,Kadastr ma’lumotlari
Agricultural producer data,Данные о производителях сельскохозяйственной продукции,Qishloq xo‘jaligi mahsulotlari ishlab chiqaruvchilari haqidagi ma’lumotlar
Mobile application data,Данные Мобильного приложения,Mobil ilova ma’lumotlari
