NameEn,NameRu,NameUz
Rivers,Реки,Daryolar
Canals and irrigation networks,Каналы и ирригационные сети,Kanallar va irrigatsiya tarmoqlari
Reservoirs,Водохранилища,Suv omborlari
Groundwater,Подземные воды,Yer osti suvlari
Atmospheric precipitation,Атмосферные осадки,Atmosfera yog‘inlari
Drainage and discharge water,Дренажные и сбросные воды,Drenaj va oqova suvlar
Wastewater,Сточные воды,Oqova suvlar
Reused water,Повторно используемые воды,Qayta ishlatiladigan suvlar
Glaciers,Ледники,Muzliklar
Water in the soil profile,Вода в почвенном профиле,Tuproq kesimidagi suv
